Sweat 汗；出汗
Saucy 无礼的；俏皮的；漂亮的
Forum 论坛；讨论会
Giant 巨大的；超群的
Panic 惊慌
flash 闪光；闪现；
issue 问题；发行；
Expel 开出；驱逐；排出
alarm 闹钟；警报
Spare 抽出；免除；备用；空闲的
level 水平；高度
Toxic 有毒的；中毒的；
alloy 合金
Verse 诗歌；韵文；诗节
Inner 内嵌的；内心的；内部；内心
syrup 糖浆
trend 趋势，倾向
Crush 碾碎，使变形
Scrub 擦洗；取消；灌木丛
Check 支票；账单；检查
Rough 粗糙不平的
Stain 玷污；留下污渍
Mercy 宽恕；仁慈；恩惠
Lyric 抒情的；抒情诗
adorn 装饰；装扮
Renew 重新开始；重申；修复
bacon 熏肉
Stake 股份；赌注；利害关系
Sting 刺；感觉刺痛
blend 混合，混杂
Stout 强壮的，结实的
scorn 轻蔑，蔑视
Swoop 突然行动；猛扑
Punch 拳打；打孔；按，压
Incur 招致，招惹，遭受
Siege 包围，围困了；封锁
lunge 猛冲；猛扑
Crude 天然的，未锻炼的；粗俗的，粗糙的
Groom 刷洗；梳理毛发；培养训练
marsh 沼泽；湿地
Picky 挑剔的，难取悦的
Raven 乌黑发亮的
posit 安排；假定
Weird 怪异的，神秘的
spear 刺，戳
Plump 微胖的；丰满的
laser 激光器
Flake 使成薄片；雪片般落下
lease 租约；租期
Utter 出声；说；完全的
